lsoa,lsoa_code,unit_travel_time,unit_postcode,selected,admissions,relative_frequency
Bath and North East Somerset 016G,E01014460,18.7,BA13NG,1,3.0,0.00038545547989207247
Bath and North East Somerset 017A,E01014415,11.2,BA13NG,1,2.666666667,0.0003426270932802261
Bath and North East Somerset 017B,E01014416,13.3,BA13NG,1,4.333333333,0.0005567690264679429
Bath and North East Somerset 017C,E01014417,11.2,BA13NG,1,4.0,0.0005139406398560967
Bath and North East Somerset 018A,E01014387,13.3,BA13NG,1,1.666666667,0.000214141933316202
Bath and North East Somerset 018B,E01014388,14.4,BA13NG,1,2.666666667,0.0003426270932802261
Bath and North East Somerset 018C,E01014389,14.4,BA13NG,1,2.0,0.00025697031992804833
Bath and North East Somerset 018D,E01014390,13.3,BA13NG,1,1.333333333,0.00017131354657587048
Bath and North East Somerset 019A,E01014431,12.2,BA13NG,1,1.333333333,0.00017131354657587048
Bath and North East Somerset 019B,E01014432,13.3,BA13NG,1,2.666666667,0.0003426270932802261
Bath and North East Somerset 019C,E01014433,15.5,BA13NG,1,1.0,0.00012848515996402416
Bath and North East Somerset 019D,E01014434,13.3,BA13NG,1,1.666666667,0.000214141933316202
Bath and North East Somerset 020A,E01014385,20.8,BA13NG,1,1.333333333,0.00017131354657587048
Bath and North East Somerset 020B,E01014386,23.0,BA13NG,1,1.0,0.00012848515996402416
Bath and North East Somerset 020C,E01014419,23.0,BA13NG,1,3.0,0.00038545547989207247
Bath and North East Somerset 020D,E01014446,21.9,BA13NG,1,0.666666667,8.565677335217782e-05
Bath and North East Somerset 020E,E01014447,24.1,BS105NB,1,2.666666667,0.0003426270932802261
Bath and North East Somerset 021A,E01014382,28.4,BA13NG,1,4.333333333,0.0005567690264679429
Bath and North East Somerset 021B,E01014383,33.7,BA13NG,1,1.666666667,0.000214141933316202
Bath and North East Somerset 021C,E01014384,23.0,BA13NG,1,1.666666667,0.000214141933316202
